eV   W/mA     phot/mAs
        401.999    4.58241E-10    7.11474E+06
        402.998    4.68440E-10    7.25506E+06
        403.999    4.71483E-10    7.28408E+06
        405.001    4.69700E-10    7.23861E+06
        405.997    4.68615E-10    7.20416E+06
        407.000    4.75619E-10    7.29382E+06
        408.001    4.88987E-10    7.48041E+06
        408.996    5.02359E-10    7.66629E+06
        409.999    5.15444E-10    7.84671E+06
        410.995    5.28525E-10    8.02637E+06
        412.000    5.42184E-10    8.21370E+06
        412.997    5.55563E-10    8.39605E+06
        413.997    5.68587E-10    8.57213E+06
        415.000    5.80743E-10    8.73425E+06
        416.002    5.93174E-10    8.89973E+06
        417.002    6.05449E-10    9.06211E+06
        418.001    6.17301E-10    9.21740E+06
        419.000    6.28801E-10    9.36675E+06
        420.004    6.40022E-10    9.51109E+06
        421.001    6.51092E-10    9.65270E+06
        422.000    6.61480E-10    9.78350E+06
        422.997    6.71333E-10    9.90581E+06
        424.001    6.80761E-10    1.00212E+07
        425.000    6.89421E-10    1.01248E+07
        425.997    6.97528E-10    1.02198E+07
        426.998    7.05034E-10    1.03056E+07
        428.000    7.11535E-10    1.03763E+07
        428.998    7.17507E-10    1.04390E+07
        429.999    7.23024E-10    1.04948E+07
        430.997    7.27726E-10    1.05386E+07
        431.995    7.31974E-10    1.05756E+07
        432.999    7.35179E-10    1.05973E+07
        433.998    7.37445E-10    1.06055E+07
        434.999    7.38040E-10    1.05896E+07
        435.999    7.37062E-10    1.05514E+07
        436.998    7.34533E-10    1.04911E+07
        438.002    7.29665E-10    1.03977E+07
        438.998    7.22652E-10    1.02744E+07
        440.003    7.12868E-10    1.01121E+07
        441.000    6.99891E-10    9.90561E+06
        441.999    6.82785E-10    9.64167E+06
        443.004    6.59816E-10    9.29618E+06
        443.996    6.31021E-10    8.87062E+06
        444.998    5.95505E-10    8.35250E+06
        446.003    5.53571E-10    7.74685E+06
        447.002    5.11701E-10    7.14490E+06
        447.999    4.83174E-10    6.73157E+06
        448.999    4.74617E-10    6.59762E+06
        449.997    2.63799E-10    3.65891E+06
        449.997    4.60326E-10    6.38477E+06
        454.996    2.81938E-10    3.86755E+06
        459.998    3.86479E-10    5.24396E+06
        464.998    4.34046E-10    5.82606E+06
        470.003    6.32269E-10    8.39635E+06
        475.006    6.42515E-10    8.44256E+06
        479.998    6.98230E-10    9.07922E+06
        484.997    7.09373E-10    9.12904E+06
        489.998    7.25168E-10    9.23706E+06
        495.002    7.39854E-10    9.32886E+06
        500.000    7.65635E-10    9.55744E+06
        505.000    8.06329E-10    9.96576E+06
        510.004    8.50522E-10    1.04088E+07
        514.998    8.86039E-10    1.07383E+07
        520.004    9.06493E-10    1.08805E+07
        520.004    9.06538E-10    1.08810E+07
        521.002    9.08114E-10    1.08790E+07
        522.006    9.07717E-10    1.08534E+07
        522.997    9.05373E-10    1.08048E+07
        524.000    8.99852E-10    1.07184E+07
        524.996    8.90973E-10    1.05925E+07
        525.001    8.90697E-10    1.05891E+07
        525.999    8.76539E-10    1.04010E+07
        527.004    8.53584E-10    1.01093E+07
        528.005    8.14950E-10    9.63347E+06
        528.998    7.35241E-10    8.67492E+06
        530.004    6.36823E-10    7.49946E+06
        530.004    6.37672E-10    7.50945E+06
        530.991    7.33989E-10    8.62765E+06
        532.005    8.19064E-10    9.60929E+06
        533.001    8.52608E-10    9.98414E+06
        534.000    9.08709E-10    1.06212E+07
        534.999    8.96802E-10    1.04624E+07
        535.005    8.95395E-10    1.04459E+07
        535.997    7.89484E-10    9.19329E+06
        537.001    6.72207E-10    7.81300E+06
        537.991    6.64113E-10    7.70471E+06
        538.999    6.76714E-10    7.83622E+06
        539.999    6.96033E-10    8.04502E+06
        540.004    6.96470E-10    8.04998E+06
        541.000    7.24036E-10    8.35318E+06
        541.998    7.62608E-10    8.78199E+06
        542.994    8.08729E-10    9.29604E+06
        544.006    8.49887E-10    9.75096E+06
        544.994    8.82780E-10    1.01100E+07
        545.000    8.82379E-10    1.01053E+07
        546.006    9.13262E-10    1.04397E+07
        547.003    9.43787E-10    1.07690E+07
        547.997    9.77370E-10    1.11319E+07
        548.998    1.01173E-09    1.15023E+07
        550.001    1.04421E-09    1.18499E+07
        550.006    1.04458E-09    1.18540E+07
        550.995    1.07324E-09    1.21573E+07
        551.997    1.09786E-09    1.24137E+07
        552.995    1.11706E-09    1.26079E+07
        553.995    1.13184E-09    1.27518E+07
        554.991    1.14347E-09    1.28596E+07
        554.997    1.14319E-09    1.28564E+07
        556.000    1.15371E-09    1.29512E+07
        556.995    1.16165E-09    1.30171E+07
        558.003    1.16663E-09    1.30493E+07
        559.002    1.17055E-09    1.30697E+07
